"pop_id","country_code","year","fertility_rate","life_expectancy","size"
200,"KEN",2015,4.263,62.1337317073171,46050302
213,"KGZ",2010,3.1,69.3,5447900
212,"KGZ",2015,3.2,70.6512195121951,5956900
68,"KHM",2010,2.875,66.3856585365854,14363586
67,"KHM",2015,2.595,68.6561463414634,15577899
203,"KIR",2010,3.843,65.3027804878049,102648
202,"KIR",2015,3.69,66.1478536585366,112423
361,"KNA",2010,,,52352
360,"KNA",2015,,,55572
207,"KOR",2010,1.226,80.5512195121951,49410366
206,"KOR",2015,1.239,82.1558536585366,50617045
211,"KWT",2010,2.353,74.1166341463415,3059473
210,"KWT",2015,2.072,74.6979024390244,3892115
215,"LAO",2010,3.293,64.3336341463415,6260544
214,"LAO",2015,2.923,66.5398780487805,6802023
219,"LBN",2010,1.613,78.4653658536586,4337156
218,"LBN",2015,1.722,79.6286097560976,5850743
223,"LBR",2010,5.024,59.4412926829268,3957990
222,"LBR",2015,4.647,61.1609512195122,4503438
225,"LBY",2010,2.603,71.7373902439024,6265697
224,"LBY",2015,2.426,71.8263170731707,6278438
363,"LCA",2010,1.982,74.4710975609756,177397
362,"LCA",2015,1.869,75.184512195122,184999
227,"LIE",2010,1.4,81.8414634146342,36276
226,"LIE",2015,1.59,82.0731707317073,37531
359,"LKA",2010,2.203,74.339243902439,20119000
358,"LKA",2015,2.062,74.9531951219512,20966000
221,"LSO",2010,3.303,47.4834146341463,2010586
220,"LSO",2015,3.142,49.9612195121951,2135022
229,"LTU",2010,1.5,73.2682926829268,3097282
228,"LTU",2015,1.63,75.119512195122,2904910
231,"LUX",2010,1.63,80.6317073170732,506953
230,"LUX",2015,1.5,82.2292682926829,569604
217,"LVA",2010,1.36,73.4829268292683,2097555
216,"LVA",2015,1.64,74.1243902439024,1977527
233,"MAC",2010,1.061,79.6903902439024,534626
232,"MAC",2015,1.276,80.7660731707317,587606
365,"MAF",2010,1.82,78.7219512195122,30235
364,"MAF",2015,1.81,79.4707317073171,31754
267,"MAR",2010,2.535,72.5769268292683,32107739
266,"MAR",2015,2.486,74.2893170731707,34377511
261,"MCO",2010,,,36845
260,"MCO",2015,,,37731
259,"MDA",2010,1.274,69.7092682926829,3562045
258,"MDA",2015,1.248,71.6264390243903,3554108
237,"MDG",2010,4.654,63.3617317073171,21079532
236,"MDG",2015,4.35,65.4827804878049,24235390
243,"MDV",2010,2.209,76.2004878048781,367000
242,"MDV",2015,2.088,76.979,409163
255,"MEX",2010,2.356,76.0267804878049,118617542
254,"MEX",2015,2.213,76.9206829268293,127017224
249,"MHL",2010,,,52428
248,"MHL",2015,,,52993
235,"MKD",2010,1.471,74.7226341463415,2062443
234,"MKD",2015,1.535,75.4953414634146,2078453
245,"MLI",2010,6.547,56.1798048780488,15167286
244,"MLI",2015,6.143,58.4572195121951,17599694
247,"MLT",2010,1.36,81.3975609756098,414508
246,"MLT",2015,1.42,81.9463414634146,431874
271,"MMR",2010,2.386,64.9174878048781,51733013
270,"MMR",2015,2.177,66.0420731707317,53897154
265,"MNE",2010,1.767,75.0452926829268,619428
264,"MNE",2015,1.676,76.3377073170732,622159
263,"MNG",2010,2.555,67.6038292682927,2712657
262,"MNG",2015,2.638,69.8212682926829,2959134
291,"MNP",2010,,,53860
290,"MNP",2015,,,55070
269,"MOZ",2010,5.564,53.2269024390244,24321457
268,"MOZ",2015,5.295,55.371243902439,27977863
251,"MRT",2010,4.835,62.0061707317073,3591400
250,"MRT",2015,4.543,63.2028292682927,4067564
253,"MUS",2010,1.57,72.9673170731707,1250400
252,"MUS",2015,1.36,74.3531707317073,1262605
239,"MWI",2010,5.531,56.836243902439,14769824
