"lang_id","code","name","percent","official"
333,"GRC","Greek",99,TRUE
334,"GRC","Other",1,FALSE
335,"GRL","Greenlandic",,TRUE
336,"GRL","Danish",,TRUE
337,"GRL","English",,FALSE
338,"GRD","English",,TRUE
339,"GRD","French patois",,FALSE
340,"GUM","English",43.6,FALSE
341,"GUM","Filipino",21.2,FALSE
342,"GUM","Chamorro",17.8,FALSE
343,"GUM","Other Pacific Islander",10,FALSE
344,"GUM","Asian",6.3,FALSE
345,"GUM","Other",1.1,FALSE
346,"GTM","Spanish",60,TRUE
347,"GTM","Amerindian",40,FALSE
348,"GIN","French",,TRUE
349,"GNB","Crioulo",,FALSE
350,"GNB","Portuguese",,TRUE
351,"GNB","Pular",,FALSE
352,"GNB","Mandingo",,FALSE
353,"GUY","English",,TRUE
354,"GUY","Guyanese Creole",,FALSE
355,"GUY","Amerindian",,FALSE
356,"GUY","Indian",,FALSE
357,"GUY","Chinese",,FALSE
358,"HTI","French",,TRUE
359,"HTI","Creole",,TRUE
360,"HND","Spanish",,TRUE
361,"HND","Amerindian",,FALSE
362,"HKG","Cantonese",89.5,TRUE
363,"HKG","English",3.5,TRUE
364,"HKG","Mandarin",1.4,TRUE
365,"HKG","Other Chinese",4,FALSE
366,"HKG","Other",1.6,FALSE
367,"HUN","Hungarian",99.6,TRUE
368,"HUN","English",16,FALSE
369,"HUN","German",11.2,FALSE
370,"HUN","Russian",1.6,FALSE
371,"HUN","Romanian",1.3,FALSE
372,"HUN","French",1.2,FALSE
373,"HUN","Other",4.2,FALSE
374,"ISL","Icelandic",,FALSE
375,"ISL","English",,FALSE
376,"ISL","Nordic",,FALSE
377,"ISL","German",,FALSE
378,"IND","Hindi",41,FALSE
379,"IND","Bengali",8.1,FALSE
380,"IND","Telugu",7.2,FALSE
381,"IND","Marathi",7,FALSE
382,"IND","Tamil",5.9,FALSE
383,"IND","Urdu",5,FALSE
384,"IND","Gujarati",4.5,FALSE
385,"IND","Kannada",3.7,FALSE
386,"IND","Malayalam",3.2,FALSE
387,"IND","Oriya",3.2,FALSE
388,"IND","Punjabi",2.8,FALSE
389,"IND","Assamese",1.3,FALSE
390,"IND","Maithili",1.2,FALSE
391,"IND","Other",5.9,FALSE
392,"IDN","Bahasa",,TRUE
393,"IDN","English",,FALSE
394,"IDN","Dutch",,FALSE
395,"IDN","Other",,FALSE
396,"IRN","Persian",,TRUE
397,"IRN","Turkic",,FALSE
398,"IRN","Kurdish",,FALSE
399,"IRN","Gilaki and Mazandarani",,FALSE
400,"IRN","Luri",,FALSE
401,"IRN","Balochi",,FALSE
402,"IRN","Arabic",,FALSE
403,"IRN","Other",,FALSE
404,"IRQ","Arabic",,TRUE
405,"IRQ","Kurdish",,TRUE
406,"IRQ","Turkmen",,FALSE
407,"IRQ","Syriac",,TRUE
408,"IRQ","Armenian",,TRUE
409,"IRL","English",61.3,TRUE
410,"IRL","Irish",38.7,TRUE
411,"ISR","Hebrew",,TRUE
412,"ISR","Arabic",,TRUE
413,"ISR","English",,FALSE
414,"ITA","Italian",,TRUE
415,"ITA","German",,FALSE
416,"ITA","French",,FALSE
417,"ITA","Slovene",,FALSE
418,"JAM","English",,FALSE
419,"JAM","English patois",,FALSE
420,"JPN","Japanese",,FALSE
421,"JOR","Arabic",,TRUE
422,"JOR","English",,FALSE
423,"KAZ","Kazakh",74,TRUE
